Latitude;Longitude;Label
-8.25565, 113.99274, TRÁFO EX;;
-8.25125, 113.99259, TM8X;;
-8.25042, 113.99236, T2L;;
-8.24999, 113.99238, T3L;;
-8.24963, 113.99242, T4L;;
-8.24919, 113.99245, T5L;;
-8.24875, 113.99248, T6L;;
-8.24824, 113.99253, T7L;;
-8.24778, 113.99257, T8L;;
-8.24730, 113.99259, T9L;;
-8.24684, 113.99263, T10L;;
-8.24640, 113.99270, T11L;;
-8.24597, 113.99270, T12L;;
-8.24549, 113.99274, T13L;;
-8.24505, 113.99278, T14L;;
-8.24465, 113.99286, T15L;;
-8.24434, 113.99304, TIC1L;;
-8.24403, 113.99317, C17L;;
-8.24370, 113.99338, C18L;;
-8.24350, 113.99309, C19L;;
-8.24345, 113.99336, C20R;;
-8.24335, 113.99366, C21R;;
-8.24348, 113.99405, C22L;;
-8.24373, 113.99392, C23R;;
-8.24400, 113.99410, C24R;;
-8.24435, 113.99425, C25R;;
-8.24400, 113.99439, 235;;
-8.24372, 113.99450, C27LL;;
-8.24341, 113.99469, C28L;;
-8.24307, 113.99488, C29L;;
-8.24272, 113.99505, C30L;;
-8.24242, 113.99518, C31L;;
-8.24205, 113.99529, C32L;;
-8.24178, 113.99556, C33L;;
-8.24151, 113.99581, C34L;;
-8.24122, 113.99602, C35L;;
-8.24102, 113.99624, C36L;;
-8.24075, 113.99644, C37L;;
-8.24047, 113.99671, C38L;;
-8.24019, 113.99696, C39L;;
-8.23995, 113.99721, C40L;;
-8.23969, 113.99743, C41L;;
-8.23939, 113.99769, C42L;;
-8.23912, 113.99790, C43L;;
-8.23876, 113.99801, C44L;;
-8.23842, 113.99822, C45L;;
-8.23815, 113.99828, C46L;;
-8.23770, 113.99841, C47L;;
-8.23753, 113.99872, C48L;;
-8.23731, 113.99895, C49L;;
-8.23711, 113.99920, C50R;;
-8.23673, 113.99943, C51R;;
-8.23644, 113.99970, C52R;;
-8.23617, 113.99986, C53R;;
-8.23576, 114.00007, C54R;;
-8.23547, 114.00025, C55R;;
-8.23521, 114.00055, C56R;;
-8.23481, 114.00061, C57R;;
-8.23448, 114.00068, C58R;;
-8.23412, 114.00085, C59R;;
-8.23378, 114.00108, C60R;;
-8.23345, 114.00129, C61R;;
-8.23315, 114.00139, C62R;;
-8.23272, 114.00141, C63R;;
-8.23251, 114.00149, C64R;;
-8.23232, 114.00181, C65R;;
-8.23204, 114.00208, C66R;;
-8.23186, 114.00246, C67R;;
-8.23156, 114.00277, C68R;;
-8.23131, 114.00291, C69R;;
-8.23084, 114.00352, C70R;;
-8.23057, 114.00359, C71R;;
-8.23018, 114.00381, C72R;;
-8.22989, 114.00395, C73R;;
-8.22949, 114.00415, C74R;;
-8.22902, 114.00433, C75R;;
-8.22872, 114.00449, C76L;;
-8.22861, 114.00481, C77L;;
-8.22823, 114.00500, C78L;;
-8.22802, 114.00517, C79L;;
-8.22784, 114.00539, MVTIC4L;;
-8.22756, 114.00577, T81L;;
-8.22719, 114.00606, T82L;;
-8.22680, 114.00641, T83L;;
-8.22648, 114.00666, T84L;;
-8.22615, 114.00697, T85L;;
-8.22586, 114.00731, T86L;;
-8.22567, 114.00758, T87TRAFO;;
-8.22550, 114.00781, TM4L;;
-8.22532, 114.00799, R1L;;
-8.22499, 114.00817, R2L;;
-8.22469, 114.00835, R3L;;
-8.22441, 114.00850, R4L;;
-8.22408, 114.00870, R5L;;
-8.22383, 114.00903, R6L;;
-8.22362, 114.00936, R7L;;
-8.22337, 114.00966, TR3L;;
