X,Y,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
113.5603783,-8.2992117,,2023/04/06 04:08:10.100+00,,,Point 10,,Tr1,,,,,,,,Waypoint,,,,4.3,,,,
113.5623417,-8.29724,13,2023/04/06 04:03:05.146+00,,,Point 1,,Tr3gw,,,,,,,,Waypoint,,,,5,,,,
113.5604267,-8.2995633,-7,2023/04/06 04:08:32.021+00,,,Point 11,,Tr7,,,,,,,,Waypoint,,,,4,,,,
113.562135,-8.2975517,9,2023/04/06 04:03:30.358+00,,,Point 2,,Tr1,,,,,,,,Waypoint,,,,4.8,,,,
113.5619433,-8.2979133,15,2023/04/06 04:04:34.207+00,,,Point 3,,Tr1,,,,,,,,Waypoint,,,,3.8,,,,
113.561685,-8.2983083,22,2023/04/06 04:05:04.065+00,,,Point 4,,Tr1,,,,,,,,Waypoint,,,,4.7,,,,
113.5617083,-8.2985233,22,2023/04/06 04:05:29.949+00,,,Point 5,,Tr1,,,,,,,,Waypoint,,,,4.6,,,,
113.5617133,-8.2992033,23,2023/04/06 04:05:57.699+00,,,Point 6,,Tr2gw,,,,,,,,Waypoint,,,,4.2,,,,
113.5612683,-8.2991,-6,2023/04/06 04:06:51.016+00,,,Point 7,,Tr1,,,,,,,,Waypoint,,,,2.9,,,,
113.5607833,-8.2991033,3,2023/04/06 04:07:21.051+00,,,Point 8,,Tr2gw,,,,,,,,Waypoint,,,,3.5,,,,
113.560405,-8.299015,5,2023/04/06 04:07:49.498+00,,,Point 9,,Tr2gw,,,,,,,,Waypoint,,,,3.6,,,,
