Latitude;Longitude;Label;Sudut (derajat);Kategori
-8.25565;113.99274;TRÁFO EX;;
-8.25125;113.99259;TM8X;13.4;TM1
-8.25042;113.99236;T2L;17.97;TM2
-8.24999;113.99238;T3L;3.64;TM1
-8.24963;113.99242;T4L;2.41;TM1
-8.24919;113.99245;T5L;0.0;TM1
-8.24875;113.99248;T6L;1.68;TM1
-8.24824;113.99253;T7L;0.62;TM1
-8.24778;113.99257;T8L;2.56;TM1
-8.2473;113.99259;T9L;2.56;TM1
-8.24684;113.99263;T10L;4.03;TM1
-8.2464;113.9927;T11L;8.95;TM1
-8.24597;113.9927;T12L;4.71;TM1
-8.24549;113.99274;T13L;0.43;TM1
-8.24505;113.99278;T14L;6.05;TM1
-8.24465;113.99286;T15L;18.69;TM2
-8.24434;113.99304;TIC1L;7.34;TM1
-8.24403;113.99317;C17L;9.66;TM1
-8.2437;113.99338;C18L;87.33;TM10
-8.2435;113.99309;C19L;134.53;TM10
-8.24345;113.99336;C20R;8.02;TM1
-8.24335;113.99366;C21R;37.23;TM5
-8.24348;113.99405;C22L;98.62;TM10
-8.24373;113.99392;C23R;60.65;TM10
-8.244;113.9941;C24R;10.43;TM1
-8.24435;113.99425;C25R;135.42;TM10
-8.244;113.99439;235;0.35;TM1
-8.24372;113.9945;C27LL;9.99;TM1
-8.24341;113.99469;C28L;2.29;TM1
-8.24307;113.99488;C29L;3.27;TM1
-8.24272;113.99505;C30L;2.46;TM1
-8.24242;113.99518;C31L;6.82;TM1
-8.24205;113.99529;C32L;28.31;TM2
-8.24178;113.99556;C33L;2.2;TM1
-8.24151;113.99581;C34L;6.87;TM1
-8.24122;113.99602;C35L;11.8;TM1
-8.24102;113.99624;C36L;11.19;TM1
-8.24075;113.99644;C37L;7.42;TM1
-8.24047;113.99671;C38L;2.2;TM1
-8.24019;113.99696;C39L;4.41;TM1
-8.23995;113.99721;C40L;5.93;TM1
-8.23969;113.99743;C41L;0.68;TM1
-8.23939;113.99769;C42L;3.03;TM1
-8.23912;113.9979;C43L;20.76;TM2
-8.23876;113.99801;C44L;14.61;TM1
-8.23842;113.99822;C45L;19.03;TM2
-8.23815;113.99828;C46L;3.55;TM1
-8.2377;113.99841;C47L;45.05;TM5
-8.23753;113.99872;C48L;15.03;TM10
-8.23731;113.99895;C49L;5.07;TM1
-8.23711;113.9992;C50R;20.13;TM2
-8.23673;113.99943;C51R;11.74;TM1
-8.23644;113.9997;C52R;12.27;TM1
-8.23617;113.99986;C53R;3.51;TM1
-8.23576;114.00007;C54R;4.68;TM1
-8.23547;114.00025;C55R;17.23;TM2
-8.23521;114.00055;C56R;40.35;TM5
-8.23481;114.00061;C57R;3.41;TM1
-8.23448;114.00068;C58R;13.19;TM1
-8.23412;114.00085;C59R;8.75;TM1
-8.23378;114.00108;C60R;1.6;TM1
-8.23345;114.00129;C61R;13.95;TM1
-8.23315;114.00139;C62R;15.62;TM10
-8.23272;114.00141;C63R;18.02;TM2
-8.23251;114.00149;C64R;38.38;TM5
-8.23232;114.00181;C65R;15.38;TM10
-8.23204;114.00208;C66R;20.76;TM2
-8.23186;114.00246;C67R;18.78;TM2
-8.23156;114.00277;C68R;16.65;TM2
-8.23131;114.00291;C69R;23.1;TM2
-8.23084;114.00352;C70R;37.71;TM5
-8.23057;114.00359;C71R;14.78;TM1
-8.23018;114.00381;C72R;3.64;TM1
-8.22989;114.00395;C73R;0.79;TM1
-8.22949;114.00415;C74R;5.57;TM1
-8.22902;114.00433;C75R;7.07;TM1
-8.22872;114.00449;C76L;43.02;TM5
-8.22861;114.00481;C77L;44.52;TM5
-8.22823;114.005;C78L;12.37;TM1
-8.22802;114.00517;C79L;11.72;TM1
-8.22784;114.00539;MVTIC4L;2.91;TM1
-8.22756;114.00577;T81L;15.53;TM10
-8.22719;114.00606;T82L;3.81;TM1
-8.2268;114.00641;T83L;3.9;TM1
-8.22648;114.00666;T84L;5.2;TM1
-8.22615;114.00697;T85L;6.33;TM1
-8.22586;114.00731;T86L;5.34;TM1
-8.22567;114.00758;T87TRAFO;1.34;TM1
-8.2255;114.00781;TM4L;8.54;TM1
-8.22532;114.00799;R1L;16.34;TM2
-8.22499;114.00817;R2L;2.34;TM1
-8.22469;114.00835;R3L;2.77;TM1
-8.22441;114.0085;R4L;3.02;TM1
-8.22408;114.0087;R5L;21.61;TM2
-8.22383;114.00903;R6L;4.69;TM1
-8.22362;114.00936;R7L;7.36;TM1
-8.22337;114.00966;TR3L;;TM4
